asset_id,entry_id,collection_id,series,title,source_type,source_ref,cover_path,resolved_image_url,download_status,notes
FCA103,CVM001,castlevania_master,Castlevania,Castlevania,wikipedia_summary,Castlevania (1986 video game),/covers/castlevania/CVM001.png,https://upload.wikimedia.org/wikipedia/en/5/51/Castlevania_1_cover.png,downloaded,Primary article cover.
FCA104,CVM002,castlevania_master,Castlevania,Vampire Killer,wikipedia_summary,Vampire Killer,/covers/castlevania/CVM002.jpg,https://upload.wikimedia.org/wikipedia/en/6/67/Vampire_Killer_MSX.jpg,downloaded,Primary article cover.
FCA105,CVM003,castlevania_master,Castlevania,Castlevania II: Simon's Quest,wikipedia_summary,Castlevania II: Simon's Quest,/covers/castlevania/CVM003.png,https://upload.wikimedia.org/wikipedia/en/3/36/Castlevania_2_cover.png,downloaded,Primary article cover.
FCA106,CVM004,castlevania_master,Castlevania,Haunted Castle,wikipedia_summary,Haunted Castle (video game),/covers/castlevania/CVM004.jpg,https://upload.wikimedia.org/wikipedia/en/e/e0/Haunted_Castle_flyer.jpg,downloaded,Primary article flyer.
FCA107,CVM005,castlevania_master,Castlevania,Castlevania: The Adventure,wikipedia_summary,Castlevania: The Adventure,/covers/castlevania/CVM005.jpg,https://upload.wikimedia.org/wikipedia/en/a/ad/Castlevania_Adventureboxing.jpg,downloaded,Primary article cover.
FCA108,CVM006,castlevania_master,Castlevania,Castlevania III: Dracula's Curse,wikipedia_summary,Castlevania III: Dracula's Curse,/covers/castlevania/CVM006.jpg,https://upload.wikimedia.org/wikipedia/en/9/95/Castlevania_III_Dracula%27s_Curse.jpg,downloaded,Primary article cover.
FCA109,CVM007,castlevania_master,Castlevania,Kid Dracula,wikipedia_summary,Kid Dracula (1993 video game),/covers/castlevania/CVM007.jpg,https://upload.wikimedia.org/wikipedia/en/7/70/Kid_Dracula_%28cover%29.jpg,downloaded,Shared with Game Boy article as closest dedicated product art.
FCA110,CVM008,castlevania_master,Castlevania,Castlevania II: Belmont's Revenge,wikipedia_summary,Castlevania II: Belmont's Revenge,/covers/castlevania/CVM008.jpg,https://upload.wikimedia.org/wikipedia/en/7/76/Castlevania_II_Belmont%27s_Revenge.jpg,downloaded,Primary article cover.
FCA111,CVM009,castlevania_master,Castlevania,Super Castlevania IV,wikipedia_summary,Super Castlevania IV,/covers/castlevania/CVM009.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Super_Castlevania_IV_North_American_SNES_box_art.png/330px-Super_Castlevania_IV_North_American_SNES_box_art.png,downloaded,Primary article cover.
FCA112,CVM010,castlevania_master,Castlevania,Akumajo Dracula (X68000),wikipedia_summary,Castlevania Chronicles,/covers/castlevania/CVM010.jpg,https://upload.wikimedia.org/wikipedia/en/0/09/Castlevania_chronicles_na.jpg,downloaded,Shared with remaster article for the same game lineage.
FCA113,CVM011,castlevania_master,Castlevania,Castlevania: Rondo of Blood,wikipedia_summary,Castlevania: Rondo of Blood,/covers/castlevania/CVM011.jpg,https://upload.wikimedia.org/wikipedia/en/2/2e/Dracula_x_%28j%29_front.jpg,downloaded,Primary article cover.
FCA114,CVM012,castlevania_master,Castlevania,Kid Dracula (Game Boy),wikipedia_summary,Kid Dracula (1993 video game),/covers/castlevania/CVM012.jpg,https://upload.wikimedia.org/wikipedia/en/7/70/Kid_Dracula_%28cover%29.jpg,downloaded,Primary article cover.
FCA115,CVM013,castlevania_master,Castlevania,Castlevania: Bloodlines,wikipedia_summary,Castlevania: Bloodlines,/covers/castlevania/CVM013.jpg,https://upload.wikimedia.org/wikipedia/en/a/af/Castlevania_Bloodlines.jpg,downloaded,Primary article cover.
FCA116,CVM014,castlevania_master,Castlevania,Castlevania: Dracula X,wikipedia_summary,Castlevania: Dracula X,/covers/castlevania/CVM014.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Castlevania_Dracula_X_cover_art.png/330px-Castlevania_Dracula_X_cover_art.png,downloaded,Primary article cover.
FCA117,CVM015,castlevania_master,Castlevania,Castlevania: Symphony of the Night,wikipedia_summary,Castlevania: Symphony of the Night,/covers/castlevania/CVM015.jpg,https://upload.wikimedia.org/wikipedia/en/c/cf/Castlevania_SOTN_PAL.jpg,downloaded,Primary article cover.
FCA118,CVM016,castlevania_master,Castlevania,Castlevania Legends,wikipedia_summary,Castlevania Legends,/covers/castlevania/CVM016.jpg,https://upload.wikimedia.org/wikipedia/en/2/28/Castlevania_Legends.jpg,downloaded,Primary article cover.
FCA119,CVM017,castlevania_master,Castlevania,Castlevania (Nintendo 64),wikipedia_summary,Castlevania (Nintendo 64),/covers/castlevania/CVM017.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Castlevania_%28Nintendo_64%29.jpg/330px-Castlevania_%28Nintendo_64%29.jpg,downloaded,Primary article cover.
FCA120,CVM018,castlevania_master,Castlevania,Castlevania: Legacy of Darkness,wikipedia_summary,Castlevania: Legacy of Darkness,/covers/castlevania/CVM018.jpg,https://upload.wikimedia.org/wikipedia/en/3/37/Castlevania_Legacy_of_Darkness.jpg,downloaded,Primary article cover.
FCA121,CVM019,castlevania_master,Castlevania,Castlevania: Circle of the Moon,game_cover_sync,game:castlevania_circle_of_the_moon,/covers/games/castlevania_circle_of_the_moon.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL1E5anU3NC9mMDE1N2JkOS00MzM1LTQwMGEtOTlhYy1hYzU1MzNlNmFjY2UucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Synced from mapped game cover castlevania_circle_of_the_moon (ggapp_export; https://ggapp.io/games/Q9ju74/castlevania-circle-of-the-moon).
FCA122,CVM020,castlevania_master,Castlevania,Castlevania Chronicles,wikipedia_summary,Castlevania Chronicles,/covers/castlevania/CVM020.jpg,https://upload.wikimedia.org/wikipedia/en/0/09/Castlevania_chronicles_na.jpg,downloaded,Primary article cover.
FCA123,CVM021,castlevania_master,Castlevania,Castlevania: Harmony of Dissonance,game_cover_sync,game:castlevania_harmony_of_dissonance,/covers/games/castlevania_harmony_of_dissonance.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL1AybDBjWS8xZjVjYzJjOS1kMTFmLTQzYjUtOGNkMS1kZmQ5M2M4MmVjODcucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Synced from mapped game cover castlevania_harmony_of_dissonance (ggapp_export; https://ggapp.io/games/P2l0cY/castlevania-harmony-of-dissonance).
FCA124,CVM022,castlevania_master,Castlevania,Castlevania: Aria of Sorrow,game_cover_sync,game:castlevania_aria_of_sorrow,/covers/games/castlevania_aria_of_sorrow.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL0c5ZXI4Ti84YWZmM2JhMS02NDQ4LTQ2MGYtYmUwZS0xMzEzNDY4MWE2NDAucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Synced from mapped game cover castlevania_aria_of_sorrow (ggapp_export; https://ggapp.io/games/G9er8N/castlevania-aria-of-sorrow).
FCA125,CVM023,castlevania_master,Castlevania,Castlevania: Lament of Innocence,wikipedia_summary,Castlevania: Lament of Innocence,/covers/castlevania/CVM023.jpg,https://upload.wikimedia.org/wikipedia/en/c/cc/Castlevania_-_Lament_of_Innocense_%28Gamecover%29.jpg,downloaded,Primary article cover.
FCA126,CVM024,castlevania_master,Castlevania,Castlevania: Dawn of Sorrow,game_cover_sync,game:castlevania_dawn_of_sorrow,/covers/games/castlevania_dawn_of_sorrow.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL052VGpHeS8yYjBhNzdkNi0zZjgyLTQwZDAtYjg3ZC01NDgzYzhjNzVlZGIucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Synced from mapped game cover castlevania_dawn_of_sorrow (ggapp_export; https://ggapp.io/games/NvTjGy/castlevania-dawn-of-sorrow).
FCA127,CVM025,castlevania_master,Castlevania,Castlevania: Curse of Darkness,wikipedia_summary,Castlevania: Curse of Darkness,/covers/castlevania/CVM025.webp,https://upload.wikimedia.org/wikipedia/en/2/26/CurseOfDarkness_NA_Cover.webp,downloaded,Primary article cover.
FCA128,CVM026,castlevania_master,Castlevania,Castlevania: Portrait of Ruin,wikipedia_summary,Castlevania: Portrait of Ruin,/covers/castlevania/CVM026.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Portrait_of_Ruin.jpg/330px-Portrait_of_Ruin.jpg,downloaded,Primary article cover.
FCA129,CVM027,castlevania_master,Castlevania,Castlevania: Order of Shadows,wikipedia_summary,Castlevania: Order of Shadows,/covers/castlevania/CVM027.png,https://upload.wikimedia.org/wikipedia/en/e/e6/CastlevaniaOrderofshadows.png,downloaded,Primary article cover.
FCA130,CVM028,castlevania_master,Castlevania,Castlevania: The Dracula X Chronicles,wikipedia_summary,Castlevania: The Dracula X Chronicles,/covers/castlevania/CVM028.jpg,https://upload.wikimedia.org/wikipedia/en/a/a4/Castlevania_Dracula_X_Chronicles.jpg,downloaded,Primary article cover.
FCA131,CVM029,castlevania_master,Castlevania,Castlevania Judgment,wikipedia_summary,Castlevania Judgment,/covers/castlevania/CVM029.jpg,https://upload.wikimedia.org/wikipedia/en/7/74/Castlevania_Judgement.jpg,downloaded,Primary article cover.
FCA132,CVM030,castlevania_master,Castlevania,Castlevania: Order of Ecclesia,wikipedia_summary,Castlevania: Order of Ecclesia,/covers/castlevania/CVM030.jpg,https://upload.wikimedia.org/wikipedia/en/1/18/Castlevania_ooe_front_cover.jpg,downloaded,Primary article cover.
FCA133,CVM031,castlevania_master,Castlevania,Castlevania: The Adventure ReBirth,wikipedia_summary,Castlevania: The Adventure ReBirth,/covers/castlevania/CVM031.png,https://upload.wikimedia.org/wikipedia/en/3/38/Castlevania_-_The_Adventure_ReBirth_Coverart.png,downloaded,Primary article cover.
FCA134,CVM032,castlevania_master,Castlevania,Castlevania: The Arcade,wikipedia_summary,Castlevania: The Arcade,/covers/castlevania/CVM032.jpg,https://upload.wikimedia.org/wikipedia/en/7/73/CastlevaniaTheArcade2009UKFlyer.jpg,downloaded,Primary article flyer.
FCA135,CVM033,castlevania_master,Castlevania,Castlevania Puzzle: Encore of the Night,wikipedia_summary,Castlevania Puzzle: Encore of the Night,/covers/castlevania/CVM033.jpg,https://upload.wikimedia.org/wikipedia/en/a/ac/Catlevania_puzzle_app_logo.jpg,downloaded,Primary article art.
FCA136,CVM034,castlevania_master,Castlevania,Castlevania: Harmony of Despair,wikipedia_summary,Castlevania: Harmony of Despair,/covers/castlevania/CVM034.png,https://upload.wikimedia.org/wikipedia/en/c/ce/CastlevaniaHarmonyofDespair.png,downloaded,Primary article cover.
FCA137,CVM035,castlevania_master,Castlevania,Castlevania: Lords of Shadow,wikipedia_summary,Castlevania: Lords of Shadow,/covers/castlevania/CVM035.png,https://upload.wikimedia.org/wikipedia/en/f/f0/Castlevania_Lords_of_Shadow.png,downloaded,Primary article cover.
FCA138,CVM036,castlevania_master,Castlevania,Castlevania: Lords of Shadow - Mirror of Fate,wikipedia_summary,Castlevania: Lords of Shadow - Mirror of Fate,/covers/castlevania/CVM036.jpg,https://upload.wikimedia.org/wikipedia/en/8/8d/Castlevania_Lords_of_Shadow_Mirror_of_Fate.jpg,downloaded,Primary article cover.
FCA139,CVM037,castlevania_master,Castlevania,Castlevania: Lords of Shadow 2,wikipedia_summary,Castlevania: Lords of Shadow 2,/covers/castlevania/CVM037.jpg,https://upload.wikimedia.org/wikipedia/en/6/6c/Castlevania_Lords_of_Shadow_2_boxart.jpg,downloaded,Primary article cover.
FCA140,CVM038,castlevania_master,Castlevania,Castlevania Requiem,direct_url,https://image.api.playstation.com/cdn/UP0101/CUSA13434_00/LEmkby25T8JSfofEgDKXQgDAemcE7DIv.png,/covers/castlevania/CVM038.png,https://image.api.playstation.com/cdn/UP0101/CUSA13434_00/LEmkby25T8JSfofEgDKXQgDAemcE7DIv.png,downloaded,PlayStation Store product image.
FCA141,CVM039,castlevania_master,Castlevania,Castlevania Anniversary Collection,direct_url,https://www.konami.com/games/50th/ac/s/img/share_img.jpg,/covers/castlevania/CVM039.jpg,https://www.konami.com/games/50th/ac/s/img/share_img.jpg,downloaded,Official Konami share image.
FCA142,CVM040,castlevania_master,Castlevania,Castlevania: Grimoire of Souls,direct_url,https://www.konami.com/games/castlevania/gos/s/img/sns_gos_global.jpg,/covers/castlevania/CVM040.jpg,https://www.konami.com/games/castlevania/gos/s/img/sns_gos_global.jpg,downloaded,Official Konami share image.
FCA143,CVM041,castlevania_master,Castlevania,Castlevania Advance Collection,direct_url,https://www.konami.com/games/castlevania/advance_collection/s/images/sns_castlevania_gba.jpg,/covers/castlevania/CVM041.jpg,https://www.konami.com/games/castlevania/advance_collection/s/images/sns_castlevania_gba.jpg,downloaded,Official Konami share image.
FCA144,CVM042,castlevania_master,Castlevania,Castlevania Dominus Collection,direct_url,https://www.konami.com/games/castlevania/dominus_collection/s/images/sns_castlevania_dominus.jpg,/covers/castlevania/CVM042.jpg,https://www.konami.com/games/castlevania/dominus_collection/s/images/sns_castlevania_dominus.jpg,downloaded,Official Konami share image.
FCA145,CVM043,castlevania_master,Castlevania,Haunted Castle Revisited,direct_url,https://www.konami.com/games/castlevania/dominus_collection/s/images/sns_castlevania_dominus.jpg,/covers/castlevania/CVM043.jpg,https://www.konami.com/games/castlevania/dominus_collection/s/images/sns_castlevania_dominus.jpg,downloaded,Featured within Dominus Collection official art.
FCA146,CVM044,castlevania_master,Castlevania,Castlevania: Belmont's Curse,wikipedia_summary,Castlevania: Belmont's Curse,/covers/castlevania/CVM044.png,https://upload.wikimedia.org/wikipedia/en/6/62/Castlevania_Belmont%27s_Curse_Promotional_Teaser_Image.png,downloaded,Promotional teaser art from article page.
FCA147,FFM001,final_fantasy_master,Final Fantasy,Final Fantasy,wikipedia_summary,Final Fantasy (video game),/covers/final-fantasy/FFM001.jpg,https://upload.wikimedia.org/wikipedia/en/d/d8/FF1_USA_boxart.jpg,downloaded,Primary article cover.
FCA148,FFM002,final_fantasy_master,Final Fantasy,Final Fantasy II,wikipedia_summary,Final Fantasy II,/covers/final-fantasy/FFM002.jpg,https://upload.wikimedia.org/wikipedia/en/f/f0/Ff2cover.jpg,downloaded,Primary article cover.
FCA149,FFM003,final_fantasy_master,Final Fantasy,Final Fantasy III,wikipedia_summary,Final Fantasy III,/covers/final-fantasy/FFM003.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Ff3cover.jpg/330px-Ff3cover.jpg,downloaded,Primary article cover.
FCA150,FFM004,final_fantasy_master,Final Fantasy,Final Fantasy IV,wikipedia_summary,Final Fantasy IV,/covers/final-fantasy/FFM004.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Final_Fantasy_IV.jpg/330px-Final_Fantasy_IV.jpg,downloaded,Primary article cover.
FCA151,FFM005,final_fantasy_master,Final Fantasy,Final Fantasy V,wikipedia_summary,Final Fantasy V,/covers/final-fantasy/FFM005.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Final_Fantasy_V_Box_JAP.jpg/330px-Final_Fantasy_V_Box_JAP.jpg,downloaded,Primary article cover.
FCA152,FFM006,final_fantasy_master,Final Fantasy,Final Fantasy VI,wikipedia_summary,Final Fantasy VI,/covers/final-fantasy/FFM006.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Final_Fantasy_VI.jpg/330px-Final_Fantasy_VI.jpg,downloaded,Primary article cover.
FCA153,FFM007,final_fantasy_master,Final Fantasy,Final Fantasy VII,game_cover_sync,game:final_fantasy_vii_original,/covers/games/final_fantasy_vii_original.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL1JOQ3Q4Si9jYzhjYzBmNS02ZjMyLTQzZTMtOGI4NS03NzU0YWE3NThmMzMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Synced from mapped game cover final_fantasy_vii_original (ggapp_export; https://ggapp.io/games/RNCt8J/final-fantasy-vii).
FCA154,FFM008,final_fantasy_master,Final Fantasy,Final Fantasy Tactics,wikipedia_summary,Final Fantasy Tactics,/covers/final-fantasy/FFM008.jpg,https://upload.wikimedia.org/wikipedia/en/4/4b/Fftbox.jpg,downloaded,Primary article cover.
FCA155,FFM009,final_fantasy_master,Final Fantasy,Final Fantasy VIII,wikipedia_summary,Final Fantasy VIII,/covers/final-fantasy/FFM009.jpg,https://upload.wikimedia.org/wikipedia/en/5/5d/Final_Fantasy_8_ntsc-front.jpg,downloaded,Primary article cover.
FCA156,FFM010,final_fantasy_master,Final Fantasy,Final Fantasy IX,wikipedia_summary,Final Fantasy IX,/covers/final-fantasy/FFM010.jpg,https://upload.wikimedia.org/wikipedia/en/5/51/Ffixbox.jpg,downloaded,Primary article cover.
FCA157,FFM011,final_fantasy_master,Final Fantasy,Final Fantasy X,wikipedia_summary,Final Fantasy X,/covers/final-fantasy/FFM011.jpg,https://upload.wikimedia.org/wikipedia/en/a/a7/Ffxboxart.jpg,downloaded,Primary article cover.
FCA158,FFM012,final_fantasy_master,Final Fantasy,Final Fantasy XI: Online,wikipedia_summary,Final Fantasy XI,/covers/final-fantasy/FFM012.png,https://upload.wikimedia.org/wikipedia/en/0/01/Final_Fantasy_XI_logo.png,downloaded,Primary article logo.
FCA159,FFM013,final_fantasy_master,Final Fantasy,Final Fantasy X-2,wikipedia_summary,Final Fantasy X-2,/covers/final-fantasy/FFM013.png,https://upload.wikimedia.org/wikipedia/en/b/b8/Final_Fantasy_X-2_cover_art.png,downloaded,Primary article cover.
FCA160,FFM014,final_fantasy_master,Final Fantasy,Final Fantasy Tactics Advance,wikipedia_summary,Final Fantasy Tactics Advance,/covers/final-fantasy/FFM014.jpg,https://upload.wikimedia.org/wikipedia/en/c/c4/FinalFantasyTacticsAdvanceGBACoverArtUS.jpg,downloaded,Primary article cover.
