opinion_id,game_id,title,status,hours_played,overall_score,story_score,progression_score,hook_score,aesthetic_score,emotional_complexity_score,combat_depth_score,endgame_repetition_penalty,pacing_score,narrative_payoff_score,confidence,notes,last_updated
O105,hotel_dusk_room_215,Hotel Dusk: Room 215,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O106,shin_megami_tensei_iv,Shin Megami Tensei IV,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O107,shin_megami_tensei_iv_apocalypse,Shin Megami Tensei IV: Apocalypse,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O108,fire_emblem_awakening,Fire Emblem Awakening,completed,,5,5,5,4,5,5,5,2,4,5,high,"User finished the main story.",2026-04-01
O109,fire_emblem_fates,Fire Emblem Fates,on_hold,,3,3,4,3,4,3,5,3,3,3,medium,"User left it halfway.",2026-04-01
O110,the_legend_of_zelda_a_link_between_worlds,The Legend of Zelda: A Link Between Worlds,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O111,kid_icarus_uprising,Kid Icarus: Uprising,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O112,dragon_quest_viii,Dragon Quest VIII: Journey of the Cursed King,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O113,radiant_historia_perfect_chronology,Radiant Historia: Perfect Chronology,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O114,bravely_second,Bravely Second,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O115,professor_layton_vs_phoenix_wright,Professor Layton vs. Phoenix Wright,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O116,jeanne_darc,Jeanne d'Arc,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O117,tactics_ogre_let_us_cling_together,Tactics Ogre: Let Us Cling Together,completed,,5,5,5,3,5,5,5,3,3,5,high,"User played the Switch version and finished the main story to the end, but did not play the route branches.",2026-04-01
O118,persona_3_portable,Persona 3 Portable,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O119,ys_seven,Ys Seven,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O120,the_3rd_birthday,The 3rd Birthday,interested_not_started,,,,,,,,,,,,high,"User has not played it yet, but wants to, along with the original Parasite Eve.",2026-04-01
O121,valkyria_chronicles_ii,Valkyria Chronicles II,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O122,lunar_silver_star_harmony,Lunar: Silver Star Harmony,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O123,monster_hunter_freedom_unite,Monster Hunter Freedom Unite,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O124,star_ocean_first_departure,Star Ocean: First Departure,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O125,half_minute_hero,Half-Minute Hero,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O126,final_fantasy_ix,Final Fantasy IX,on_hold,,4,5,4,3,5,5,3,2,3,5,medium,"User has it halfway.",2026-04-01
O127,chrono_cross,Chrono Cross,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O128,vagrant_story,Vagrant Story,interested_not_started,,,,,,,,,,,,high,"User has not played it yet, but wants to.",2026-04-01
O129,xenogears,Xenogears,interested_not_started,,,,,,,,,,,,high,"User has not played it yet, but wants to.",2026-04-01
O130,suikoden_ii,Suikoden II,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O131,parasite_eve,Parasite Eve,interested_not_started,,,,,,,,,,,,high,"User has not played it yet, but wants to.",2026-04-01
O132,metal_gear_solid,Metal Gear Solid,completed,,5,5,5,5,5,5,4,1,5,5,high,"User completed it at 100 percent.",2026-04-01
O133,silent_hill,Silent Hill,completed,,5,5,4,4,5,5,3,1,4,5,high,"User completed it at 100 percent.",2026-04-01
O134,valkyrie_profile,Valkyrie Profile,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O135,breath_of_fire_iv,Breath of Fire IV,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O136,disco_elysium,Disco Elysium,interested_not_started,,,,,,,,,,,,high,"User has not played it yet, but wants to.",2026-04-01
O137,hades,Hades,on_hold,,4,4,5,4,5,4,5,3,5,4,high,"User has it halfway and wants to finish it.",2026-04-01
O138,balatro,Balatro,playing,,4,1,4,4,3,1,5,5,4,1,high,"User plays it occasionally and would like to keep playing.",2026-04-01
O139,inscryption,Inscryption,interested_not_started,,,,,,,,,,,,high,"User has not played it yet, but wants to.",2026-04-01
O140,slay_the_spire,Slay the Spire,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O141,return_of_the_obra_dinn,Return of the Obra Dinn,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O142,citizen_sleeper,Citizen Sleeper,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O143,bastion,Bastion,completed,,4,3,5,5,5,3,3,2,5,4,high,"User finished it.",2026-04-01
O144,transistor,Transistor,completed,,4,4,5,4,5,4,5,2,4,4,high,"User finished it.",2026-04-01
O145,into_the_breach,Into the Breach,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-01
O146,lost_odyssey,Lost Odyssey,on_hold,,4,5,4,3,4,5,3,2,3,5,high,"User only needs to finish it; the run stalled on the last disc because it was not functioning properly.",2026-04-02
O147,blue_dragon,Blue Dragon,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O148,the_last_story,The Last Story,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O149,infinite_undiscovery,Infinite Undiscovery,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O150,resonance_of_fate,Resonance of Fate,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O151,tokyo_mirage_sessions_fe_encore,Tokyo Mirage Sessions #FE Encore,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O152,rune_factory_4_special,Rune Factory 4 Special,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O153,utawarerumono_prelude_to_the_fallen,Utawarerumono: Prelude to the Fallen,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O154,utawarerumono_mask_of_deception,Utawarerumono: Mask of Deception,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O155,utawarerumono_mask_of_truth,Utawarerumono: Mask of Truth,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O156,the_caligula_effect_2,The Caligula Effect 2,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O157,monark,Monark,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O158,fuga_melodies_of_steel,Fuga: Melodies of Steel,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O159,fuga_melodies_of_steel_2,Fuga: Melodies of Steel 2,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O160,troubleshooter_abandoned_children,Troubleshooter: Abandoned Children,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O161,digimon_story_cyber_sleuth,Digimon Story: Cyber Sleuth,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O162,digimon_story_hackers_memory,Digimon Story: Cyber Sleuth - Hacker's Memory,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O163,zero_escape_virtues_last_reward,Zero Escape: Virtue's Last Reward,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O164,zero_time_dilemma,Zero Time Dilemma,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O165,ai_the_somnium_files_nirvana_initiative,AI: The Somnium Files - nirvanA Initiative,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O166,shibuya_scramble_428,428: Shibuya Scramble,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O167,bloodstained_ritual_of_the_night,Bloodstained: Ritual of the Night,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O168,blasphemous,Blasphemous,on_hold,,4,3,4,4,5,4,5,3,4,4,high,"User has it halfway and wants to finish it.",2026-04-02
O169,blasphemous_2,Blasphemous 2,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O170,ender_lilies,Ender Lilies: Quietus of the Knights,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O171,tunic,Tunic,on_hold,,3,3,2,3,5,3,3,2,3,3,high,"User has it halfway and would like to finish it.",2026-04-02
O172,deaths_door,Death's Door,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O173,axiom_verge,Axiom Verge,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O174,axiom_verge_2,Axiom Verge 2,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O175,guacamelee,Guacamelee!,on_hold,,4,3,4,4,5,3,5,2,5,3,high,"User has it halfway and would like to finish it.",2026-04-02
O176,guacamelee_2,Guacamelee! 2,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O177,salt_and_sanctuary,Salt and Sanctuary,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O178,the_messenger,The Messenger,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O179,resident_evil_7,Resident Evil 7: Biohazard,completed,,5,4,5,5,5,4,4,2,5,4,high,"User liked it.",2026-04-02
O180,tormented_souls,Tormented Souls,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O181,the_evil_within,The Evil Within,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O182,the_evil_within_2,The Evil Within 2,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O183,dead_space,Dead Space,completed,,5,4,5,5,5,4,5,2,5,4,high,"User liked it.",2026-04-02
O184,dead_space_2,Dead Space 2,completed,,5,4,5,5,5,4,5,2,5,4,high,"User liked it.",2026-04-02
O185,prey_2017,Prey,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O186,alien_isolation,Alien: Isolation,interested_not_started,,,,,,,,,,,,high,"User has not played it.",2026-04-02
O187,marvels_spider_man,Marvel's Spider-Man,completed,,4,4,4,4,5,3,4,2,5,4,high,"User liked the story and only played the main story.",2026-04-02
O188,pentiment,Pentiment,completed,,5,5,5,4,5,5,1,1,4,5,high,"User liked the whole concept a lot and finished it.",2026-04-02
O189,donkey_kong_country,Donkey Kong Country,completed,,4,1,5,5,4,2,5,1,5,2,high,"User liked it and finished it.",2026-04-02
O190,the_quarry,The Quarry,completed,,5,5,5,4,4,4,1,1,4,5,high,"User liked it a lot and finished it.",2026-04-02
O191,star_wars_jedi_survivor,Star Wars Jedi: Survivor,completed,,4,4,4,4,4,3,4,2,4,4,high,"User liked the story and finished it.",2026-04-02
O192,super_mario_3d_land,Super Mario 3D Land,completed,,4,1,5,5,4,1,4,1,5,2,high,"User liked it and finished it.",2026-04-02
O193,a_plague_tale_requiem,A Plague Tale: Requiem,completed,,4,4,4,4,5,5,3,2,4,5,high,"User liked it and finished it.",2026-04-02
O194,death_stranding,Death Stranding,dropped_then_watched,,3,4,2,3,5,4,2,4,2,4,high,"User left it halfway and then watched the rest on YouTube; the plot was very attractive, but it may simply not have been the right moment.",2026-04-02
O195,marvels_guardians_of_the_galaxy,Marvel's Guardians of the Galaxy,completed,,4,4,4,4,5,4,3,2,5,4,high,"User liked the story and graphics and finished it.",2026-04-02
O196,resident_evil_5,Resident Evil 5,completed,,4,3,5,5,4,2,4,2,5,3,medium,"User finished it.",2026-04-02
O197,resident_evil_6,Resident Evil 6,interested_not_started,,,,,,,,,,,,high,"User wants to play it.",2026-04-02
O198,senuas_saga_hellblade_ii,Senua's Saga: Hellblade II,completed,,4,4,3,4,5,5,1,1,3,4,high,"User liked the graphics and concept and finished it.",2026-04-02
O199,stray,Stray,completed,,4,3,4,4,5,3,1,1,4,3,high,"User liked the concept and finished it.",2026-04-02
O200,devil_may_cry_4,Devil May Cry 4,completed,,4,3,4,4,5,3,5,2,4,3,high,"User liked the story and gameplay and finished it.",2026-04-02
O201,not_a_hero,Not a Hero,completed,,4,1,4,5,3,1,4,2,5,1,medium,"User liked it, found it entertaining, and finished it.",2026-04-02
O202,xenoblade_chronicles_2,Xenoblade Chronicles 2,completed,,5,5,5,4,5,5,4,3,4,5,high,"User liked it a lot and finished it at 100 percent.",2026-04-02
O203,xenoblade_chronicles_2_torna,Torna ~ The Golden Country,completed,,5,5,5,5,5,5,4,2,5,5,high,"User finished the DLC at 100 percent.",2026-04-02
O204,zone_of_the_enders,Zone of the Enders,completed,,4,4,4,4,4,3,4,2,4,4,medium,"User finished it and was strongly attracted by the story.",2026-04-02
O205,zone_of_the_enders_the_2nd_runner,Zone of the Enders: The 2nd Runner,completed,,4,4,4,4,5,4,5,2,5,4,medium,"User finished it and was strongly attracted by the story.",2026-04-02
O206,ridge_racer_psp,Ridge Racer,completed,,4,1,5,5,3,1,4,1,5,1,high,"User finished it at 100 percent, found it very fun, and would like to replay it.",2026-04-02
O207,ridge_racer_2,Ridge Racer 2,completed,,4,1,5,5,3,1,4,1,5,1,high,"User finished it at 100 percent, found it very fun, and would like to replay it.",2026-04-02
O208,the_last_of_us_part_i,The Last of Us Part I,completed,,5,5,5,5,5,5,4,1,5,5,high,"User liked it a lot and finished the story.",2026-04-02
O209,the_last_of_us_part_ii,The Last of Us Part II,completed,,5,5,5,5,5,5,5,1,5,5,high,"User liked it a lot and finished the story.",2026-04-02
O210,a_plague_tale_innocence,A Plague Tale: Innocence,completed,,4,4,4,4,4,4,3,2,4,4,high,"User liked the concept a lot and finished it.",2026-04-02
O211,captain_toad_treasure_tracker,Captain Toad: Treasure Tracker,completed,,4,3,5,5,4,2,2,1,5,3,high,"User liked it a lot, finished it, and would like to replay it.",2026-04-02
O212,red_dead_redemption,Red Dead Redemption,completed,,5,5,5,4,5,5,3,1,4,5,high,"User played it and completed it at 100 percent.",2026-04-02
O213,red_dead_redemption_2,Red Dead Redemption 2,completed,,4,4,4,3,5,5,3,1,3,4,medium,"User finished the story but would like to replay it because not enough attention was paid at the time and it may not have been the right moment.",2026-04-02
O214,metal_gear_solid_3,Metal Gear Solid 3: Snake Eater,completed,,5,5,5,5,5,5,4,1,5,5,high,"User liked it a lot and finished it.",2026-04-02
O215,metal_gear_solid_4,Metal Gear Solid 4: Guns of the Patriots,completed,,5,5,4,4,5,5,4,1,4,5,high,"User liked it a lot and finished it.",2026-04-02
O216,metal_gear_rising_revengeance,Metal Gear Rising: Revengeance,completed,,5,4,4,5,5,3,5,1,5,4,high,"User liked it a lot and finished it.",2026-04-02
O217,silent_hill_2,Silent Hill 2,completed,,5,5,4,4,5,5,3,1,4,5,high,"User liked it a lot and finished it.",2026-04-02
O218,max_payne_3,Max Payne 3,completed,,4,4,5,5,4,4,5,1,5,4,high,"User liked it a lot and finished it.",2026-04-02
O219,need_for_speed_the_run,Need for Speed: The Run,completed,,4,1,5,5,3,1,4,1,5,1,high,"User liked it a lot and finished it.",2026-04-02
O220,need_for_speed_prostreet,Need for Speed: ProStreet,completed,,4,1,5,5,3,1,4,1,5,1,high,"User liked it a lot and finished it.",2026-04-02
O221,need_for_speed_carbon,Need for Speed: Carbon,completed,,4,1,5,5,3,1,4,1,5,1,high,"User liked it a lot and finished it.",2026-04-02
O222,prince_of_persia_the_two_thrones,Prince of Persia: The Two Thrones,completed,,4,4,4,4,4,3,4,1,5,4,high,"User liked it a lot and finished it.",2026-04-02
O223,prince_of_persia_the_forgotten_sands,Prince of Persia: The Forgotten Sands,completed,,4,3,4,4,4,2,4,1,5,3,high,"User liked it a lot and finished it.",2026-04-02
O224,prince_of_persia_the_sands_of_time,Prince of Persia: The Sands of Time,on_hold,,,,,,,,,,,,high,"User started it, and it is still pending.",2026-04-02
O225,prince_of_persia_warrior_within,Prince of Persia: Warrior Within,interested_not_started,,,,,,,,,,,,high,"User wants to play it.",2026-04-02
O226,la_noire,L.A. Noire,completed,,4,4,4,4,4,4,1,1,4,4,high,"User finished it, liked it, and would like to replay it.",2026-04-02
O227,gears_of_war,Gears of War,completed,,4,3,5,5,4,3,4,1,5,4,high,"User finished it and would like to replay it.",2026-04-02
O228,gears_of_war_2,Gears of War 2,completed,,4,4,5,5,4,4,4,1,5,4,medium,"User finished it as part of the trilogy run.",2026-04-02
O229,gears_of_war_3,Gears of War 3,completed,,4,4,5,5,4,4,4,1,5,4,medium,"User finished it as part of the trilogy run.",2026-04-02
O230,pokemon_legends_arceus,Pokemon Legends: Arceus,dropped_then_watched,,4,2,5,5,4,2,3,3,4,2,high,"User played a lot, had fun, and enjoyed it, but later finished the rest on YouTube.",2026-04-02
O231,broken_age,Broken Age,completed_or_watched,,,,,,,,,,,,low,"User finished watching it on YouTube.",2026-04-02
O232,vanquish,Vanquish,on_hold,,,,,,,,,,,,medium,"User started it and left it halfway; it is still pending.",2026-04-02
O233,mirrors_edge,Mirror's Edge,dropped,,2,1,3,3,4,1,2,2,3,1,medium,"User abandoned it.",2026-04-02
O234,kirby_star_allies,Kirby Star Allies,completed,,4,1,4,4,4,1,2,1,4,2,high,"User finished it and liked it.",2026-04-02
O235,final_fantasy_crystal_chronicles,Final Fantasy Crystal Chronicles,dropped_then_watched,,3,3,3,4,4,3,3,3,3,3,high,"The premise attracted the user a lot, but it was later abandoned and the rest was watched on YouTube.",2026-04-02
O236,child_of_light,Child of Light,completed,,5,4,5,4,5,4,3,1,4,4,high,"User finished it at 100 percent.",2026-04-02
O237,final_fantasy_xiii,Final Fantasy XIII,completed,,5,4,5,4,5,4,4,2,4,4,high,"User finished it at 100 percent despite its reputation for being linear.",2026-04-02
O238,final_fantasy_xiii_2,Final Fantasy XIII-2,completed,,4,4,4,4,5,4,4,2,4,4,high,"User finished the story.",2026-04-02
O239,lightning_returns_final_fantasy_xiii,Lightning Returns: Final Fantasy XIII,interested_not_started,,,,,,,,,,,,high,"User wants to play it.",2026-04-02
O240,yakuza_like_a_dragon,Yakuza: Like a Dragon,on_hold,,,,,,,,,,,,high,"User started it, but it is still pending.",2026-04-02
O241,kingdom_hearts_iii,Kingdom Hearts III,completed,,5,5,4,4,5,4,4,1,4,5,high,"Completed on Xbox. Strong positive: lore, gameplay variety/modes, and overall pacing landed well.",2026-05-12
O242,kingdom_hearts_iii_re_mind,Kingdom Hearts III Re Mind,completed,,5,5,4,4,5,4,4,1,4,5,high,"Completed on Xbox. Extra story/payoff content that matched your taste for lore and momentum.",2026-05-12
O243,kingdom_hearts_back_cover,Kingdom Hearts χ Back Cover,completed_or_watched,,4,4,,,4,3,,,4,4,high,"Watched on Xbox. Lore-dense context piece; enjoyed it mainly for story/worldbuilding.",2026-05-12
O244,kingdom_hearts_hd_2_8_final_chapter_prologue,Kingdom Hearts HD 2.8 Final Chapter Prologue,completed,,4,4,3,3,4,4,3,2,3,4,medium,"Completed on Xbox. Overall positive; note: as a collection, the pacing/structure varies by component.",2026-05-12
O245,final_fantasy_vii_rebirth,Final Fantasy VII Rebirth,completed,,4,4,4,4,5,4,4,2,4,4,medium,"Played the Xbox demo. Very positive first impression: lore/characters, combat feel, and pacing were appealing; full-game scores TBD.",2026-05-12
O246,metaphor_refantazio,Metaphor: ReFantazio,completed,,4,4,4,4,5,4,4,2,4,4,medium,"Played the Xbox demo. Strong fit so far: lore, rhythm, and overall gameplay loop landed; full-game scores TBD.",2026-05-12
O247,shadow_of_mordor,Middle-earth: Shadow of Mordor,completed,,3,2,5,4,4,2,4,4,4,2,high,"Finished main story on Xbox (GOTY). Nemesis system was fun and interesting, but the main story disappointed; felt like it would become repetitive if it went longer. Used paid add-ons to move faster. Skipped extras.",2026-05-16
