game_id,title,series,primary_genre,combat_style,story_strength,progression_clarity,early_hook,aesthetic_fit,emotional_complexity,combat_depth,endgame_repetition_risk,pacing_speed,notes
thirteen_sentinels_aegis_rim,13 Sentinels: Aegis Rim,13 Sentinels,adventure_strategy,story_adventure_with_rts_defense,high,medium,high,high,high,medium,low,medium,"A mystery-heavy sci-fi narrative with intertwined character arcs, major reveals, and stylish presentation."
shibuya_scramble_428,428: Shibuya Scramble,428: Shibuya Scramble,visual_novel,live_action_branching_story,high,high,high,high,high,low,low,fast,A live-action mystery visual novel with excellent momentum and intersecting storylines.
zero_escape_999,"999: Nine Hours, Nine Persons, Nine Doors",Zero Escape,visual_novel_escape,escape_room_visual_novel,high,medium,high,high,high,low,medium,fast,"A branching mystery with escape-room gameplay, high tension, and very strong narrative reveals."
a_plague_tale_innocence,A Plague Tale: Innocence,A Plague Tale,action_adventure,stealth_action_adventure,high,high,high,high,high,medium,low,fast,A focused narrative stealth-adventure with strong atmosphere and clear story propulsion.
a_plague_tale_requiem,A Plague Tale: Requiem,A Plague Tale,action_adventure,stealth_action_adventure,high,high,high,high,high,medium,low,fast,"A dark narrative campaign with strong emotional stakes, stealth-action progression, and cinematic focus."
advance_wars_1_and_2,Advance Wars 1 and 2,Advance Wars,tactical_strategy,turn_based_grid_tactics,low,high,high,medium,low,high,medium,fast,"Readable tactical campaigns with excellent mechanical clarity, but a lighter emotional hook than narrative-heavy tactics RPGs."
advance_wars_1_2_re_boot_camp,Advance Wars: 1+2 Re-Boot Camp,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/6Ugtez/advance-wars-1-2-re-boot-camp.
ai_the_somnium_files_nirvana_initiative,AI: The Somnium Files - nirvanA Initiative,AI: The Somnium Files,adventure_investigation,investigation_and_psync_puzzles,high,medium,high,high,high,low,medium,fast,"A mystery adventure sequel with strong twists, stylish presentation, and puzzle-investigation structure."
alan_wake_2,Alan Wake 2,Alan Wake,survival_horror,third_person_survival_horror,high,medium,medium,high,high,medium,low,medium,"A narrative-heavy horror thriller with strong atmosphere and mystery, but slower and more investigative than pure action-horror."
alan_wake_s_american_nightmare,Alan Wake's American Nightmare,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/OS5N7e/alan-wakes-american-nightmare.
alien_isolation,Alien: Isolation,Alien,survival_horror,stealth_survival_horror,high,medium,medium,high,high,medium,medium,slow,"An excellent atmospheric horror game with strong tension, but a notably long and drawn-out structure."
assassin_s_creed_origins,Assassin's Creed® Origins,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/0OFLRX/assassins-creed-r-origins.
astral_chain,Astral Chain,Astral Chain,action_adventure,stylish_action_dual_character,medium,medium,high,high,medium,high,medium,medium,"A stylish action game with strong visual identity and setpieces, but a cooler emotional temperature and a more system-driven loop."
astria_ascending,Astria Ascending,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/Gzeof5/astria-ascending.
axiom_verge,Axiom Verge,Axiom Verge,metroidvania,action_platforming_metroidvania,medium,high,high,high,medium,high,low,fast,A retro-heavy metroidvania with strong exploration and ability gating.
axiom_verge_2,Axiom Verge 2,Axiom Verge,metroidvania,exploration_metroidvania,medium,medium,medium,high,medium,medium,low,medium,A more exploration-focused sequel with less combat urgency and a more diffuse structure.
balatro,Balatro,Balatro,roguelite_card_game,deckbuilding_score_attack,low,high,high,medium,low,high,high,fast,"A deeply replayable card roguelite driven by runs, combo discovery, and score chase rather than narrative."
bastion,Bastion,Supergiant,action_rpg,isometric_action,medium,high,high,high,medium,medium,low,fast,"A stylish action game with strong narration, atmosphere, and satisfying compact progression."
baten_kaitos_i_and_ii,Baten Kaitos I and II,Baten Kaitos,jrpg,card_based_turn_command,high,medium,medium,high,high,medium,medium,slow,"Atmospheric card-based JRPGs with strong worldbuilding and lore, but a slower combat texture and momentum profile."
baten_kaitos_origins,Baten Kaitos Origins,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/0F2UQI/baten-kaitos-origins.
baten_kaitos_eternal_wings_and_the_lost_ocean,Baten Kaitos: Eternal Wings and the Lost Ocean,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/jGP7s5/baten-kaitos-eternal-wings-and-the-lost-ocean.
batman_arkham_asylum,Batman: Arkham Asylum,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/6kI1K3/batman-arkham-asylum.
bayonetta,Bayonetta,Bayonetta,stylish_action,character_action,medium,high,high,high,medium,high,low,fast,"A stylish action game built around expressive combat mastery, outrageous spectacle, and strong mechanical scoring focus."
bayonetta_2,Bayonetta 2,Bayonetta,stylish_action,character_action,medium,high,high,high,medium,high,low,fast,"A smoother, more accessible sequel with more spectacle and variety, but still primarily driven by stylish combat appeal."
bayonetta_3,Bayonetta 3,Bayonetta,stylish_action,character_action,medium,high,high,high,medium,high,low,fast,"A bigger, flashier sequel with high spectacle, multiple gimmicks, and the same core demand for stylish action buy-in."
blasphemous,Blasphemous,Blasphemous,metroidvania,action_platforming_soulslike,medium,medium,medium,high,high,high,medium,medium,A dark and stylish action-metroidvania with strong atmosphere and harsher combat friction.
blasphemous_2,Blasphemous 2,Blasphemous,metroidvania,action_platforming_metroidvania,medium,high,high,high,high,high,low,fast,A more fluid sequel that keeps the strong atmosphere while smoothing the progression loop.
bloodstained_ritual_of_the_night,Bloodstained: Ritual of the Night,Bloodstained,metroidvania,action_platforming_metroidvania,medium,high,high,high,medium,high,low,fast,"A modern Igavania built around castle exploration, gear and ability progression, and a familiar Castlevania-like loop."
blue_dragon,Blue Dragon,Blue Dragon,jrpg,traditional_turn_based,medium,high,medium,high,medium,medium,low,medium,"A bright traditional JRPG with Akira Toriyama style, straightforward progression, and lighter tone than darker story-heavy RPGs."
bravely_default,Bravely Default,Bravely,jrpg,turn_based_brave_default,high,high,medium,high,high,high,medium,medium,"A 3DS JRPG with strong worldbuilding, major twists, and deep job systems, but notable late-game repetition and meaningful difficulty spikes."
bravely_second,Bravely Second,Bravely,jrpg,turn_based_brave_default,medium,high,medium,high,medium,high,medium,medium,A systems-rich sequel focused more on refinement and jobs than on surprise.
breath_of_fire_iv,Breath of Fire IV,Breath of Fire,jrpg,traditional_turn_based,medium,high,medium,high,medium,medium,low,medium,A classic PS1 JRPG with strong visual identity and an accessible adventure structure.
broken_age,Broken Age,Standalone,point_and_click_adventure,puzzle_adventure,medium,medium,medium,high,medium,low,low,medium,"A storybook point-and-click adventure focused on charm, puzzles, and character-driven presentation."
captain_toad_treasure_tracker,Captain Toad: Treasure Tracker,Captain Toad,puzzle_platformer,compact_puzzle_platforming,medium,high,high,high,medium,low,low,fast,"A charming puzzle-platformer with clean structure, low friction, and high replayability."
captain_tsubasa_rise_of_new_champions,Captain Tsubasa: Rise of New Champions,Captain Tsubasa,arcade_sports_action,arcade_soccer_action,medium,medium,medium,high,medium,medium,medium,medium,An anime soccer game built around spectacle and special moves more than nuanced match flow or strong progression rhythm.
castlevania_dominus_collection,Castlevania Dominus Collection,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/bWUSQP/castlevania-dominus-collection.
castlevania_aria_of_sorrow,Castlevania: Aria of Sorrow,Castlevania,metroidvania,action_platforming_metroidvania,medium,high,high,high,medium,high,low,fast,"A highly regarded metroidvania with excellent progression, soul collection systems, and satisfying castle exploration."
castlevania_circle_of_the_moon,Castlevania: Circle of the Moon,Castlevania,metroidvania,action_platforming_metroidvania,medium,high,high,high,medium,high,low,fast,"A tougher early GBA Castlevania with exploration, progression, and mastery-heavy combat feel."
castlevania_dawn_of_sorrow,Castlevania: Dawn of Sorrow,Castlevania,metroidvania,action_platforming_metroidvania,medium,high,high,high,medium,high,low,fast,"A DS metroidvania with strong map progression, combat growth, and familiar exploration-driven momentum."
castlevania_harmony_of_dissonance,Castlevania: Harmony of Dissonance,Castlevania,metroidvania,action_platforming_metroidvania,medium,high,high,high,medium,high,low,fast,"A bright, exploration-forward Castlevania with strong map progression and portable momentum."
castlevania_order_of_ecclesia,Castlevania: Order of Ecclesia,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/HKWgcr/castlevania-order-of-ecclesia.
castlevania_portrait_of_ruin,Castlevania: Portrait of Ruin,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/k1Ci6A/castlevania-portrait-of-ruin.
castlevania_symphony_of_the_night,Castlevania: Symphony of the Night,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/d827Eo/castlevania-symphony-of-the-night.
catherine,Catherine,Atlus,puzzle_adventure,arcade_puzzle_climbing,high,low,medium,high,high,medium,high,medium,"A stylish psychological puzzle adventure with strong music and premise, but a very specific pressure-heavy puzzle loop."
child_of_light,Child of Light,Standalone,jrpg_platformer,active_time_battle,high,high,high,high,medium,medium,low,medium,"A compact fairy-tale RPG with elegant presentation, steady growth, and strong storybook atmosphere."
chrono_cross,Chrono Cross,Chrono,jrpg,stamina_element_battle,medium,medium,medium,high,high,medium,medium,medium,"A beautiful but more diffuse RPG known for atmosphere, music, and a less direct narrative than Chrono Trigger."
chrono_trigger,Chrono Trigger,Chrono,jrpg,active_time_battle,high,high,high,high,high,medium,low,fast,"A classic JRPG known for tight pacing, strong character arcs, and minimal filler."
citizen_sleeper,Citizen Sleeper,Citizen Sleeper,narrative_rpg,dice_driven_narrative_rpg,high,medium,medium,high,high,low,low,medium,A character-driven sci-fi narrative RPG with strong atmosphere and steady emotional pull.
clair_obscur_expedition_33,Clair Obscur: Expedition 33,Clair Obscur,jrpg,reactive_turn_based,high,high,high,high,high,high,low,medium,"A tragic party-driven RPG with reactive turn-based combat, strong buildcraft, and a heavy emotional premise."
coffee_talk,Coffee Talk,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/I5KQJM/coffee-talk.
contra,Contra,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/GsGZcF/contra.
contra_anniversary_collection,Contra Anniversary Collection,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/z9FUnR/contra-anniversary-collection.
contra_iii_the_alien_wars,Contra III: The Alien Wars,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/A6wUp9/contra-iii-the-alien-wars.
control,Control,Remedy,action_adventure,third_person_psychic_action,medium,medium,medium,high,medium,high,medium,medium,"A stylish paranormal action game with strong atmosphere and powers, but a somewhat drift-heavy structure and cooler narrative pull."
crisis_core_final_fantasy_vii,Crisis Core: Final Fantasy VII,Final Fantasy,action_jrpg,real_time_action_rpg,high,high,high,high,high,medium,medium,fast,"A fast PSP action RPG built around materia loadouts, emotional character drama, and strong FFVII lore ties."
daxter,Daxter,Jak and Daxter,action_platformer,platforming_shooter,medium,high,high,medium,low,medium,low,fast,"Fast, polished PSP action-platformer with strong mission clarity, humor, and very clean forward momentum."
dead_or_alive_2_ultimate,Dead or Alive 2 Ultimate,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/m7h3Ox/dead-or-alive-2-ultimate.
dead_or_alive_3,Dead or Alive 3,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/2Yckio/dead-or-alive-3.
dead_or_alive_4,Dead or Alive 4,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/yEeQXO/dead-or-alive-4.
dead_or_alive_5,Dead or Alive 5,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/0Ly9yo/dead-or-alive-5.
dead_or_alive_ultimate,Dead or Alive Ultimate,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/iAFYUr/dead-or-alive-ultimate.
dead_space,Dead Space,Dead Space,survival_horror,third_person_survival_horror,medium,high,high,high,high,high,low,fast,"A tightly paced sci-fi horror game with strong combat feel, atmosphere, and upgrade progression."
dead_space_2,Dead Space 2,Dead Space,survival_horror,third_person_survival_horror,medium,high,high,high,high,high,low,fast,"A faster, more action-forward sequel that keeps the atmosphere while improving momentum."
death_stranding,Death Stranding,Death Stranding,action_adventure,delivery_action_adventure,high,medium,low,high,high,medium,medium,slow,"A highly atmospheric and unusual journey game with very strong lore and concept, but a divisive traversal-heavy loop."
death_stranding_director_s_cut,DEATH STRANDING DIRECTOR'S CUT,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/g3quVb/death-stranding-directors-cut.
deaths_door,Death's Door,Death's Door,action_adventure,isometric_action_adventure,medium,high,high,high,medium,medium,low,fast,"A compact action adventure with strong momentum, clean combat, and a melancholic tone."
detroit_become_human,Detroit: Become Human,Quantic Dream,interactive_drama,choice_driven_qte_adventure,high,high,high,high,high,low,low,fast,"A branching narrative adventure centered on player choice, presentation, and replayable consequence mapping."
deus_ex_human_revolution,Deus Ex: Human Revolution,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/HahiHI/deus-ex-human-revolution.
deus_ex_mankind_divided,Deus Ex: Mankind Divided,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/2lvCS2/deus-ex-mankind-divided.
devil_may_cry,Devil May Cry,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/DScBDZ/devil-may-cry.
devil_may_cry_2,Devil May Cry 2,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/2U4Nxf/devil-may-cry-2.
devil_may_cry_4,Devil May Cry 4,Devil May Cry,stylish_action,character_action,medium,high,high,high,medium,high,low,fast,"A stylish action campaign with strong character fantasy, fast combat, and clear mission structure."
digimon_story_cyber_sleuth,Digimon Story: Cyber Sleuth,Digimon,jrpg,turn_based_monster_battle,medium,high,medium,high,medium,medium,medium,medium,"A modern Digimon RPG with strong monster-building, cyber mystery flavor, and long-form progression."
digimon_story_hackers_memory,Digimon Story: Cyber Sleuth - Hacker's Memory,Digimon,jrpg,turn_based_monster_battle,medium,high,medium,high,medium,medium,medium,medium,A companion Digimon RPG with similar systems and a somewhat stronger character angle.
disco_elysium,Disco Elysium,Disco Elysium,rpg,narrative_dialogue_rpg,high,medium,medium,high,high,low,low,slow,"A dialogue-heavy detective RPG with exceptional writing, but almost no combat and a very text-forward rhythm."
dissidia_final_fantasy,Dissidia: Final Fantasy,Final Fantasy,arena_fighter_rpg_hybrid,arena_duel_action,medium,medium,high,high,medium,high,medium,fast,"A PSP crossover fighter with RPG growth systems, fan-service-heavy story, and highly distinctive aerial combat."
doki_doki_literature_club_plus,Doki Doki Literature Club Plus!,Doki Doki Literature Club,visual_novel,meta_visual_novel,high,high,high,high,high,low,low,fast,"A meta-horror visual novel built around tonal rupture, psychological unease, and full-commitment narrative escalation."
donkey_kong_country,Donkey Kong Country,Donkey Kong,platformer,precision_platforming,low,high,high,high,medium,high,low,fast,"A tightly paced 2D platformer with strong feel, challenge, and momentum."
donkey_kong_country_2,Donkey Kong Country 2: Diddy's Kong Quest,Donkey Kong,platformer,precision_platforming,low,high,high,high,medium,high,low,fast,"A tightly designed challenge platformer with excellent feel, strong momentum, and rewarding mastery."
dragon_quest_ix,Dragon Quest IX: Sentinels of the Starry Skies,Dragon Quest,jrpg,traditional_turn_based,medium,high,medium,medium,medium,medium,medium,medium,A systems-heavy portable Dragon Quest with strong customization but less authored party drama.
dragon_quest_v,Dragon Quest V: Hand of the Heavenly Bride,Dragon Quest,jrpg,traditional_turn_based,high,high,medium,high,high,medium,low,medium,A beloved character-driven Dragon Quest with life-spanning emotional payoff.
dragon_quest_viii,Dragon Quest VIII: Journey of the Cursed King,Dragon Quest,jrpg,traditional_turn_based,high,high,medium,high,high,medium,low,medium,A classic adventure JRPG with strong cast warmth and a comfortable long-form journey.
dragon_quest_xi_s,Dragon Quest XI S: Echoes of an Elusive Age,Dragon Quest,jrpg,traditional_turn_based,high,high,medium,high,high,medium,low,medium,"A classic-feeling JRPG with strong cast warmth, long-form adventure, and generous pacing rather than sharp early urgency."
ender_lilies,Ender Lilies: Quietus of the Knights,Ender Lilies,metroidvania,action_platforming_metroidvania,medium,high,medium,high,high,high,low,medium,"A melancholy metroidvania with strong atmosphere, clean progression, and spirit-based combat."
enslaved_odyssey_to_the_west,Enslaved: Odyssey to the West,Enslaved,action_adventure,third_person_action_adventure,high,high,high,high,high,medium,low,fast,"A companion-focused action adventure with strong concept, steady momentum, and a clear emotional throughline."
fahrenheit_indigo_prophecy,Fahrenheit: Indigo Prophecy,Quantic Dream,interactive_drama,choice_driven_qte_adventure,medium,medium,high,high,medium,low,low,medium,"An influential early Quantic Dream game with a famous opening, bold ideas, and a divisive later narrative turn."
fantasian,FANTASIAN,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/kgbKNC/fantasian.
final_fantasy_crystal_chronicles,Final Fantasy Crystal Chronicles,Final Fantasy,action_rpg,cooperative_action_rpg,medium,medium,medium,high,medium,medium,medium,medium,"A lighter FF action RPG built around atmosphere, dungeon runs, and cooperative progression with some structural friction."
final_fantasy_ix,Final Fantasy IX,Final Fantasy,jrpg,active_time_battle,high,high,medium,high,high,medium,low,medium,"A beloved character-focused FF with strong emotional payoff, but more classic pacing than the most immediate entries."
final_fantasy_vii_original,Final Fantasy VII,Final Fantasy,jrpg,active_time_battle,high,medium,medium,high,high,medium,low,medium,Classic FF with strong tragic arcs and iconic presentation.
final_fantasy_vii_rebirth,Final Fantasy VII Rebirth,Final Fantasy,action_jrpg,real_time_command_hybrid,high,medium,medium,high,high,high,medium,medium,Broader structure than Remake with strong character work.
final_fantasy_vii_remake,Final Fantasy VII Remake,Final Fantasy,action_jrpg,real_time_command_hybrid,high,high,high,high,high,high,low,fast,Modern FFVII adaptation with strong presentation and better combat engagement.
final_fantasy_vii_remake_intergrade,Final Fantasy VII Remake Intergrade,Final Fantasy,action_jrpg,real_time_command_hybrid,high,high,high,high,high,high,low,fast,"A polished action-command remake of FFVII with strong character work, Midgar focus, and Yuffie DLC content included."
final_fantasy_vii_remake_episode_intermission,Final Fantasy VII Remake: EPISODE INTERmission,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/FJLL3f/final-fantasy-vii-remake-episode-intermission.
final_fantasy_x,Final Fantasy X,Final Fantasy,jrpg,conditional_turn_based,high,high,medium,medium,high,medium,low,slow,Strong payoff but a slower and more menu-driven feel.
final_fantasy_xii,Final Fantasy XII,Final Fantasy,jrpg,real_time_command_gambit,high,high,medium,high,high,high,medium,medium,"A politically textured Ivalice journey with deep systems, gambits, license boards, and satisfying party automation."
final_fantasy_xiii,Final Fantasy XIII,Final Fantasy,jrpg,paradigm_shift_atb,high,high,medium,high,high,high,medium,fast,"A highly linear but polished RPG with dramatic party arcs, strong audiovisual identity, and fast combat once its systems open up."
final_fantasy_xiii_2,Final Fantasy XIII-2,Final Fantasy,jrpg,paradigm_shift_atb,medium,high,high,high,medium,high,medium,fast,"A more open follow-up with time-travel framing, monster collecting, and the same fast, system-heavy combat foundation."
final_fantasy_xv,Final Fantasy XV,Final Fantasy,action_jrpg,real_time_party_action,medium,medium,medium,high,medium,medium,medium,medium,Stylish road-trip fantasy with strong side material and uneven base story execution.
final_fantasy_xvi,Final Fantasy XVI,Final Fantasy,action_rpg,spectacle_action_rpg,high,high,high,high,high,high,low,fast,"A dark fantasy action RPG with tragic character drama, very strong spectacle, and a largely streamlined structure."
fire_emblem_gba,Fire Emblem,Fire Emblem,tactical_rpg,turn_based_grid_tactics,high,high,medium,high,high,high,low,medium,"A GBA tactical RPG focused on character bonds, permadeath stakes, and strong campaign structure."
fire_emblem_awakening,Fire Emblem Awakening,Fire Emblem,tactical_rpg,turn_based_grid_tactics,high,high,high,high,high,high,low,fast,"A beloved entry built around character support bonds, tactical progression, and strong emotional arcs."
fire_emblem_fates,Fire Emblem Fates,Fire Emblem,tactical_rpg,turn_based_grid_tactics,medium,high,medium,high,medium,high,low,medium,A systems-rich but more divisive Fire Emblem that often lands more for gameplay than for story.
fire_emblem_the_sacred_stones,Fire Emblem: The Sacred Stones,Fire Emblem,tactical_rpg,turn_based_grid_tactics,high,high,medium,high,high,high,low,medium,"A more approachable GBA Fire Emblem with strong route pacing, class growth, and party attachment."
fire_emblem_three_houses,Fire Emblem: Three Houses,Fire Emblem,tactical_rpg,turn_based_grid_tactics,high,medium,medium,high,high,high,low,medium,"A route-based tactical RPG centered on bonds, branching perspectives, political conflict, and long-term character investment."
florence,Florence,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/rMSkwG/florence.
front_mission_1st_remake,FRONT MISSION 1st: Remake,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/vcL0tO/front-mission-1st-remake.
fuga_melodies_of_steel,Fuga: Melodies of Steel,Fuga,jrpg,turn_based_party_management,high,high,high,high,high,medium,low,fast,"A war drama RPG with strong party bonds, a dark emotional hook, and very clear campaign progression."
fuga_melodies_of_steel_2,Fuga: Melodies of Steel 2,Fuga,jrpg,turn_based_party_management,high,high,high,high,high,medium,low,fast,A sequel that builds on the first game's strong emotional and tactical loop.
gears_of_war,Gears of War,Gears of War,third_person_shooter,cover_shooter,medium,high,high,high,medium,high,low,fast,A tightly paced cover shooter with memorable combat arenas and a focused military sci-fi campaign.
gears_of_war_2,Gears of War 2,Gears of War,third_person_shooter,cover_shooter,high,high,high,high,medium,high,low,fast,A bigger and more emotional sequel that keeps the same heavy cover-shooter loop and strong campaign momentum.
gears_of_war_3,Gears of War 3,Gears of War,third_person_shooter,cover_shooter,high,high,high,high,high,high,low,fast,"A payoff-heavy shooter finale with strong co-op energy, dramatic stakes, and fast forward drive."
gears_of_war_4,Gears of War 4,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/9UptTR/gears-of-war-4.
gears_of_war_judgment,Gears of War: Judgment,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/c8o3sJ/gears-of-war-judgment.
ghost_trick,Ghost Trick,Ghost Trick,puzzle_adventure,investigation_puzzle_adventure,high,high,high,high,high,low,low,fast,"A highly acclaimed mystery adventure with excellent pacing, character charm, and payoff-heavy twists."
god_of_war,God of War,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/HH0sI1/god-of-war.
god_of_war_ii,God of War II,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/W5iqPY/god-of-war-ii.
